locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFCHDMIM_00053	CDS	606	drgA			Protein DrgA
CFCHDMIM_00054	CDS	783	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
CFCHDMIM_00055	CDS	567				hypothetical protein
CFCHDMIM_00056	CDS	1158	garK	2.7.1.165	COG1929	Glycerate 2-kinase
CFCHDMIM_00057	CDS	2409	ydeP		COG0243	Protein YdeP
CFCHDMIM_00058	CDS	792	fdhD		COG1526	Sulfur carrier protein FdhD
CFCHDMIM_00059	CDS	393				hypothetical protein
CFCHDMIM_00060	CDS	1068	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
CFCHDMIM_00061	CDS	975	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
CFCHDMIM_00062	CDS	978				hypothetical protein
CFCHDMIM_00063	CDS	1389	radA	3.6.4.-	COG1066	DNA repair protein RadA
CFCHDMIM_00064	CDS	1479	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
CFCHDMIM_00065	CDS	225				hypothetical protein
CFCHDMIM_00066	CDS	1251	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
CFCHDMIM_00067	CDS	846	dapF	5.1.1.7		Diaminopimelate epimerase
CFCHDMIM_00068	CDS	624	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
CFCHDMIM_00069	CDS	927	xerC_1		COG4973	Tyrosine recombinase XerC
CFCHDMIM_00070	CDS	750	etfB			Electron transfer flavoprotein subunit beta
CFCHDMIM_00071	CDS	933	etfA		COG2025	Electron transfer flavoprotein subunit alpha
CFCHDMIM_00072	CDS	2715	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
CFCHDMIM_00073	CDS	1647	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
CFCHDMIM_00074	CDS	381				hypothetical protein
CFCHDMIM_00075	CDS	981		2.4.-.-		putative glycosyltransferase
CFCHDMIM_00076	CDS	795		3.5.1.-	COG3394	Carbohydrate deacetylase
CFCHDMIM_00077	CDS	1092	ybhR_1		COG0842	putative multidrug ABC transporter permease YbhR
CFCHDMIM_00078	CDS	1071				hypothetical protein
CFCHDMIM_00079	CDS	1122	aaeA_1			p-hydroxybenzoic acid efflux pump subunit AaeA
CFCHDMIM_00080	CDS	1488				hypothetical protein
CFCHDMIM_00081	CDS	1080	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
CFCHDMIM_00082	CDS	147				hypothetical protein
CFCHDMIM_00083	CDS	942				hypothetical protein
CFCHDMIM_00084	CDS	468				hypothetical protein
CFCHDMIM_00085	CDS	909				hypothetical protein
CFCHDMIM_00086	CDS	1281	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
CFCHDMIM_00087	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
CFCHDMIM_00088	CDS	2433	comEC		COG0658	ComE operon protein 3
CFCHDMIM_00089	CDS	984	lpxL_1	2.3.1.241		Lipid A biosynthesis lauroyltransferase
CFCHDMIM_00090	CDS	1098				hypothetical protein
CFCHDMIM_00091	CDS	810				hypothetical protein
CFCHDMIM_00092	CDS	630	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
CFCHDMIM_00093	CDS	1071	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
CFCHDMIM_00094	CDS	1194			COG0628	Putative transport protein
CFCHDMIM_00095	CDS	699	hda		COG0593	DnaA regulatory inactivator Hda
CFCHDMIM_00096	CDS	1851				hypothetical protein
CFCHDMIM_00097	CDS	2436				hypothetical protein
CFCHDMIM_00098	CDS	390				hypothetical protein
CFCHDMIM_00099	CDS	321				hypothetical protein
CFCHDMIM_00100	CDS	615				hypothetical protein
CFCHDMIM_00101	CDS	777	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
CFCHDMIM_00102	CDS	972	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
CFCHDMIM_00103	CDS	189				hypothetical protein
CFCHDMIM_00104	CDS	564	pal_1		COG2885	Peptidoglycan-associated lipoprotein
CFCHDMIM_00105	CDS	1281	tolB		COG0823	Tol-Pal system protein TolB
CFCHDMIM_00106	CDS	1347				hypothetical protein
CFCHDMIM_00107	CDS	453	exbD_1		COG0848	Biopolymer transport protein ExbD
CFCHDMIM_00108	CDS	699	tolQ_1		COG0811	Tol-Pal system protein TolQ
CFCHDMIM_00109	CDS	408	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
CFCHDMIM_00110	CDS	1335	hipO	3.5.1.32	COG1473	Hippurate hydrolase
CFCHDMIM_00111	CDS	1005	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
CFCHDMIM_00112	CDS	600	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
CFCHDMIM_00113	CDS	1341	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
CFCHDMIM_00114	CDS	3834	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
CFCHDMIM_00115	CDS	1206	bcr_1			Bicyclomycin resistance protein
CFCHDMIM_00116	CDS	126				hypothetical protein
CFCHDMIM_00117	CDS	318			COG0327	GTP cyclohydrolase 1 type 2 
CFCHDMIM_00118	CDS	801	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
CFCHDMIM_00119	CDS	633				Bifunctional NMN adenylyltransferase/Nudix hydrolase
CFCHDMIM_00120	CDS	570				hypothetical protein
CFCHDMIM_00121	CDS	462	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
CFCHDMIM_00122	CDS	687				hypothetical protein
CFCHDMIM_00123	CDS	417				hypothetical protein
CFCHDMIM_00124	CDS	672	queC_1	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
CFCHDMIM_00125	CDS	711	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
CFCHDMIM_00126	CDS	822	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
CFCHDMIM_00127	CDS	741				hypothetical protein
CFCHDMIM_00128	CDS	924	ssuR			HTH-type transcriptional regulator SsuR
CFCHDMIM_00129	CDS	1062	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
CFCHDMIM_00130	CDS	885	cysW		COG4208	Sulfate transport system permease protein CysW
CFCHDMIM_00131	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
CFCHDMIM_00132	CDS	609				hypothetical protein
CFCHDMIM_00133	CDS	1008	sbp_1		COG1613	Sulfate-binding protein
CFCHDMIM_00134	CDS	813	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
CFCHDMIM_00135	CDS	1071	mltG	4.2.2.-		Endolytic murein transglycosylase
CFCHDMIM_00136	CDS	600	tmk	2.7.4.9	COG0125	Thymidylate kinase
CFCHDMIM_00137	CDS	417				hypothetical protein
CFCHDMIM_00138	CDS	1650	nadB	1.4.3.16	COG0029	L-aspartate oxidase
CFCHDMIM_00139	CDS	1377	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
CFCHDMIM_00140	CDS	453				hypothetical protein
CFCHDMIM_00141	CDS	1818	lepA	3.6.5.-	COG0481	Elongation factor 4
CFCHDMIM_00142	CDS	828	lepB	3.4.21.89	COG0681	Signal peptidase I
CFCHDMIM_00143	CDS	375				hypothetical protein
CFCHDMIM_00144	CDS	693	rnc	3.1.26.3	COG0571	Ribonuclease 3
CFCHDMIM_00145	CDS	1029	era		COG1159	GTPase Era
CFCHDMIM_00146	CDS	201				hypothetical protein
CFCHDMIM_00147	CDS	714	recO		COG1381	DNA repair protein RecO
CFCHDMIM_00148	CDS	726	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
CFCHDMIM_00149	CDS	645				hypothetical protein
CFCHDMIM_00150	CDS	759	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
CFCHDMIM_00151	tRNA	76				tRNA-Asn(gtt)
CFCHDMIM_00152	CDS	429				hypothetical protein
CFCHDMIM_00153	CDS	438				hypothetical protein
CFCHDMIM_00154	CDS	411				hypothetical protein
CFCHDMIM_00155	CDS	1236	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
CFCHDMIM_00156	CDS	180				hypothetical protein
CFCHDMIM_00157	CDS	1437				hypothetical protein
CFCHDMIM_00158	CDS	792				hypothetical protein
CFCHDMIM_00159	CDS	2022	uvrB		COG0556	UvrABC system protein B
CFCHDMIM_00160	CDS	588	blc		COG3040	Outer membrane lipoprotein Blc
CFCHDMIM_00161	CDS	945	rarD		COG2962	Protein RarD
CFCHDMIM_00162	CDS	1458	gap2	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
CFCHDMIM_00163	CDS	735				hypothetical protein
CFCHDMIM_00164	CDS	675				hypothetical protein
CFCHDMIM_00165	CDS	1221	obg	3.6.5.-		GTPase Obg
CFCHDMIM_00166	CDS	1134	proB	2.7.2.11		Glutamate 5-kinase
CFCHDMIM_00167	CDS	657				hypothetical protein
CFCHDMIM_00168	CDS	1209				hypothetical protein
CFCHDMIM_00169	CDS	1026	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
CFCHDMIM_00170	CDS	1047		1.13.12.-	COG2070	Nitronate monooxygenase
CFCHDMIM_00171	CDS	702				hypothetical protein
CFCHDMIM_00172	CDS	1221	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
CFCHDMIM_00173	CDS	1137	sacA	5.1.3.14		UDP-N-acetylglucosamine 2-epimerase
CFCHDMIM_00174	CDS	906				hypothetical protein
CFCHDMIM_00175	CDS	1845				hypothetical protein
CFCHDMIM_00176	CDS	1251	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
CFCHDMIM_00177	CDS	897				hypothetical protein
CFCHDMIM_00178	CDS	741				hypothetical protein
CFCHDMIM_00179	CDS	1443	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
CFCHDMIM_00180	CDS	483	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
CFCHDMIM_00181	CDS	1287	ndh	1.6.99.3	COG1252	NADH dehydrogenase
CFCHDMIM_00182	CDS	1320	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
CFCHDMIM_00183	CDS	1704				hypothetical protein
CFCHDMIM_00184	CDS	2238	icd_1	1.1.1.42	COG2838	Isocitrate dehydrogenase [NADP]
CFCHDMIM_00185	CDS	789				hypothetical protein
CFCHDMIM_00186	CDS	1257	icd_2	1.1.1.42		Isocitrate dehydrogenase [NADP]
CFCHDMIM_00187	CDS	492				hypothetical protein
CFCHDMIM_00188	CDS	411				hypothetical protein
CFCHDMIM_00189	CDS	1179				hypothetical protein
CFCHDMIM_00190	CDS	882	gltR_1		COG0583	HTH-type transcriptional regulator GltR
CFCHDMIM_00191	CDS	1395	tcyP		COG1823	L-cystine uptake protein TcyP
CFCHDMIM_00192	CDS	816	yddE_1	5.1.-.-	COG0384	putative isomerase YddE
CFCHDMIM_00193	CDS	2763				hypothetical protein
CFCHDMIM_00194	CDS	384				hypothetical protein
CFCHDMIM_00195	CDS	633				hypothetical protein
CFCHDMIM_00196	CDS	1464				hypothetical protein
CFCHDMIM_00197	CDS	378				hypothetical protein
CFCHDMIM_00198	CDS	612	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
CFCHDMIM_00199	CDS	1299	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
CFCHDMIM_00200	CDS	705				hypothetical protein
CFCHDMIM_00201	CDS	639	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
CFCHDMIM_00202	CDS	2838	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
CFCHDMIM_00203	CDS	1017				hypothetical protein
CFCHDMIM_00204	CDS	696	fabR_1		COG1309	HTH-type transcriptional repressor FabR
CFCHDMIM_00205	CDS	1071		1.-.-.-	COG1018	NADPH oxidoreductase
CFCHDMIM_00206	CDS	1095	desA3_1	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
CFCHDMIM_00207	CDS	465				hypothetical protein
CFCHDMIM_00208	CDS	633				hypothetical protein
CFCHDMIM_00209	CDS	702				hypothetical protein
CFCHDMIM_00210	CDS	1374	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
CFCHDMIM_00211	CDS	1533	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
CFCHDMIM_00212	CDS	1431	styD	1.2.1.39		Phenylacetaldehyde dehydrogenase
CFCHDMIM_00213	CDS	486	lrp_1		COG1522	Leucine-responsive regulatory protein
CFCHDMIM_00214	CDS	1722	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
CFCHDMIM_00215	CDS	1380	aroP_1		COG1113	Aromatic amino acid transport protein AroP
CFCHDMIM_00216	CDS	1032	sphX		COG0226	Protein SphX
CFCHDMIM_00217	CDS	1380				hypothetical protein
CFCHDMIM_00218	CDS	1398				hypothetical protein
CFCHDMIM_00219	CDS	903	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
CFCHDMIM_00220	CDS	963				hypothetical protein
CFCHDMIM_00221	CDS	2103				hypothetical protein
CFCHDMIM_00222	CDS	567				IS256 family transposase ISAba26
CFCHDMIM_00223	CDS	1443				hypothetical protein
CFCHDMIM_00224	CDS	1530	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
CFCHDMIM_00225	CDS	489				hypothetical protein
CFCHDMIM_00226	CDS	438				hypothetical protein
CFCHDMIM_00227	CDS	165	rubA		COG1773	Rubredoxin
CFCHDMIM_00228	CDS	1182	rubB_1	1.18.1.1	COG1251	Rubredoxin-NAD(+) reductase
CFCHDMIM_00229	CDS	945	rdmC	3.1.1.95		Aclacinomycin methylesterase RdmC
CFCHDMIM_00230	CDS	909	oxyR			Hydrogen peroxide-inducible genes activator
CFCHDMIM_00231	CDS	591				hypothetical protein
CFCHDMIM_00232	CDS	2079	ppk_1	2.7.4.1		Polyphosphate kinase
CFCHDMIM_00233	CDS	678	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
CFCHDMIM_00234	CDS	810	aarA	3.4.21.105	COG0705	Rhomboid protease AarA
CFCHDMIM_00235	CDS	2460				hypothetical protein
CFCHDMIM_00236	CDS	693	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
CFCHDMIM_00237	CDS	561	tesA	3.1.1.1	COG2755	Esterase TesA
CFCHDMIM_00238	CDS	615	mtcA2	4.2.1.1	COG0288	Carbonic anhydrase 2
CFCHDMIM_00239	CDS	1026	lip1	3.1.1.3		Lipase 1
CFCHDMIM_00240	CDS	1008				hypothetical protein
CFCHDMIM_00241	CDS	2265	pfeA		COG4771	Ferric enterobactin receptor
CFCHDMIM_00242	CDS	639	nfuA		COG0316	Fe/S biogenesis protein NfuA
CFCHDMIM_00243	CDS	618	glpG	3.4.21.105		Rhomboid protease GlpG
CFCHDMIM_00244	CDS	1677	atsA	3.1.6.1	COG3119	Arylsulfatase
CFCHDMIM_00245	CDS	1008	egtB	1.14.99.50		Hercynine oxygenase
CFCHDMIM_00246	CDS	165				hypothetical protein
CFCHDMIM_00247	CDS	1548				hypothetical protein
CFCHDMIM_00248	CDS	1335	dsdA	4.3.1.18	COG3048	D-serine dehydratase
CFCHDMIM_00249	CDS	1632	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
CFCHDMIM_00250	CDS	3687	metH	2.1.1.13	COG0646	Methionine synthase
CFCHDMIM_00251	CDS	1005	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
CFCHDMIM_00252	CDS	846	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
CFCHDMIM_00253	CDS	1329	nicT			Putative metabolite transport protein NicT
CFCHDMIM_00254	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CFCHDMIM_00255	CDS	906	perR			HTH-type transcriptional regulator PerR
CFCHDMIM_00256	CDS	447				hypothetical protein
CFCHDMIM_00257	CDS	1146	mro	5.1.3.3	COG2017	Aldose 1-epimerase
CFCHDMIM_00258	CDS	1221	fsr			Fosmidomycin resistance protein
CFCHDMIM_00259	CDS	789	nimR_1			HTH-type transcriptional regulator NimR
CFCHDMIM_00260	CDS	1323	glsA	3.5.1.2		Glutaminase
CFCHDMIM_00261	CDS	483	def_1	3.5.1.88	COG0242	Peptide deformylase
CFCHDMIM_00262	CDS	1299	proP_1			Proline/betaine transporter
CFCHDMIM_00263	CDS	1197				hypothetical protein
CFCHDMIM_00264	CDS	1641	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
CFCHDMIM_00265	CDS	1467	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
CFCHDMIM_00266	CDS	792	nadX	1.4.1.21	COG1712	L-aspartate dehydrogenase
CFCHDMIM_00267	CDS	795	baiA	1.1.1.392		3-alpha-hydroxycholanate dehydrogenase (NADP(+))
CFCHDMIM_00268	CDS	825	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
CFCHDMIM_00269	CDS	522				hypothetical protein
CFCHDMIM_00270	CDS	1224	gudP			putative glucarate transporter
CFCHDMIM_00271	CDS	1212	cmtAa	1.18.1.3	COG0446	p-cumate 2,3-dioxygenase system, ferredoxin--NAD(+) reductase component
CFCHDMIM_00272	CDS	930				hypothetical protein
CFCHDMIM_00273	CDS	765	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
CFCHDMIM_00274	CDS	1068		1.14.13.239		Carnitine monooxygenase oxygenase subunit
CFCHDMIM_00275	CDS	300				hypothetical protein
CFCHDMIM_00276	CDS	306	doxA			Naphthalene 1,2-dioxygenase system, ferredoxin component
CFCHDMIM_00277	CDS	813	kdgR		COG1414	Transcriptional regulator KdgR
CFCHDMIM_00278	CDS	300				hypothetical protein
CFCHDMIM_00279	CDS	582	pnuC		COG3201	Nicotinamide riboside transporter PnuC
CFCHDMIM_00280	CDS	789	paaF_2	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
CFCHDMIM_00281	CDS	420				hypothetical protein
CFCHDMIM_00282	CDS	1260	pgaC_1	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
CFCHDMIM_00283	CDS	1995	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
CFCHDMIM_00284	CDS	342	fbp_2	5.2.1.8	COG0545	FK506-binding protein
CFCHDMIM_00285	CDS	531	yaeQ		COG4681	putative protein YaeQ
CFCHDMIM_00286	CDS	1263	dctA_1		COG1301	Aerobic C4-dicarboxylate transport protein
CFCHDMIM_00287	CDS	999	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
CFCHDMIM_00288	CDS	201				hypothetical protein
CFCHDMIM_00289	CDS	516				hypothetical protein
CFCHDMIM_00290	CDS	615				hypothetical protein
CFCHDMIM_00291	CDS	2067	betT2		COG1292	Osmo-dependent choline transporter BetT2
CFCHDMIM_00292	CDS	1623	betT1		COG1292	Osmo-independent choline transporter BetT1
CFCHDMIM_00293	CDS	624	betI_1		COG1309	HTH-type transcriptional regulator BetI
CFCHDMIM_00294	CDS	1473	betB_2	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
CFCHDMIM_00295	CDS	1659	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
CFCHDMIM_00296	CDS	1641	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
CFCHDMIM_00297	CDS	471				hypothetical protein
CFCHDMIM_00298	CDS	879	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
CFCHDMIM_00299	CDS	1335	ydgI		COG0531	Putative arginine/ornithine antiporter
CFCHDMIM_00300	CDS	1914				hypothetical protein
CFCHDMIM_00301	CDS	708				hypothetical protein
CFCHDMIM_00302	CDS	276				hypothetical protein
CFCHDMIM_00303	CDS	441				hypothetical protein
CFCHDMIM_00304	CDS	597	pigA	1.14.99.58	COG3230	Heme oxygenase PigA
CFCHDMIM_00305	CDS	921				hypothetical protein
CFCHDMIM_00306	CDS	1491				TPR repeat-containing protein
CFCHDMIM_00307	CDS	792				hypothetical protein
CFCHDMIM_00308	CDS	3174				hypothetical protein
CFCHDMIM_00309	CDS	1017				hypothetical protein
CFCHDMIM_00310	CDS	570	fecI		COG1595	putative RNA polymerase sigma factor FecI
CFCHDMIM_00311	CDS	891	cynR_1			HTH-type transcriptional regulator CynR
CFCHDMIM_00312	CDS	945	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
CFCHDMIM_00313	CDS	1386	naiP_1			Putative niacin/nicotinamide transporter NaiP
CFCHDMIM_00314	CDS	729				hypothetical protein
CFCHDMIM_00315	CDS	486				hypothetical protein
CFCHDMIM_00316	CDS	285				hypothetical protein
CFCHDMIM_00317	CDS	279				hypothetical protein
CFCHDMIM_00318	CDS	741	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
CFCHDMIM_00319	CDS	1329	queC_2	6.3.4.20		7-cyano-7-deazaguanine synthase
CFCHDMIM_00320	CDS	765				hypothetical protein
CFCHDMIM_00321	CDS	1794				hypothetical protein
CFCHDMIM_00322	CDS	1383				hypothetical protein
CFCHDMIM_00323	CDS	1206				hypothetical protein
CFCHDMIM_00324	CDS	1047	yejK		COG3081	Nucleoid-associated protein YejK
CFCHDMIM_00325	CDS	1443				hypothetical protein
CFCHDMIM_00326	CDS	117				Single-stranded DNA-binding protein
CFCHDMIM_00327	CDS	2466				hypothetical protein
CFCHDMIM_00328	CDS	279				hypothetical protein
CFCHDMIM_00329	CDS	117				hypothetical protein
CFCHDMIM_00330	CDS	306				hypothetical protein
CFCHDMIM_00331	CDS	381				hypothetical protein
CFCHDMIM_00332	CDS	555				hypothetical protein
CFCHDMIM_00333	CDS	210				hypothetical protein
CFCHDMIM_00334	CDS	228				hypothetical protein
CFCHDMIM_00335	CDS	768				hypothetical protein
CFCHDMIM_00336	CDS	1284	intS_1		COG0582	Prophage integrase IntS
CFCHDMIM_00337	CDS	666				hypothetical protein
CFCHDMIM_00338	CDS	135				hypothetical protein
CFCHDMIM_00339	CDS	468	umuC_1		COG0389	Protein UmuC
CFCHDMIM_00340	CDS	1017				hypothetical protein
CFCHDMIM_00341	CDS	843				hypothetical protein
CFCHDMIM_00342	CDS	642				hypothetical protein
CFCHDMIM_00343	CDS	771				hypothetical protein
CFCHDMIM_00344	CDS	288				hypothetical protein
CFCHDMIM_00345	CDS	180				hypothetical protein
CFCHDMIM_00346	CDS	699				hypothetical protein
CFCHDMIM_00347	CDS	795				hypothetical protein
CFCHDMIM_00348	CDS	249				hypothetical protein
CFCHDMIM_00349	CDS	900				hypothetical protein
CFCHDMIM_00350	CDS	699				hypothetical protein
CFCHDMIM_00351	CDS	1080				hypothetical protein
CFCHDMIM_00352	CDS	630				hypothetical protein
CFCHDMIM_00353	CDS	1452				hypothetical protein
CFCHDMIM_00354	CDS	1953				hypothetical protein
